slug	brief_file	page_type	priority	claim_sensitive
4th-july-mattress-sales	4th-july-mattress-sales.md	sales	P2	no
adjustable-bed-mattress	adjustable-bed-mattress.md	guide	P3	no
alternative-mattress-reviews	alternative-mattress-reviews.md	guide	P0	no
bedding	bedding.md	guide	P3	no
bedding-buying-guide	bedding-buying-guide.md	guide	P3	no
best-adjustable-beds	best-adjustable-beds.md	best-of	P1	no
best-air-mattress	best-air-mattress.md	best-of	P1	no
best-bed-in-a-box-mattress-brands	best-bed-in-a-box-mattress-brands.md	best-of	P1	no
best-california-king-size-mattress	best-california-king-size-mattress.md	best-of	P1	no
best-cooling-mattress-for-hot-sleepers	best-cooling-mattress-for-hot-sleepers.md	best-of	P1	no
best-eco-friendly-mattress	best-eco-friendly-mattress.md	best-of	P1	no
best-firm-mattress	best-firm-mattress.md	best-of	P1	no
best-foundation-for-memory-foam-mattress	best-foundation-for-memory-foam-mattress.md	best-of	P1	no
best-full-size-mattress	best-full-size-mattress.md	best-of	P1	no
best-hybrid-mattress	best-hybrid-mattress.md	best-of	P1	no
best-hybrid-mattress-for-side-sleepers	best-hybrid-mattress-for-side-sleepers.md	best-of	P1	no
best-innerspring-mattress	best-innerspring-mattress.md	best-of	P1	no
best-latex-mattress	best-latex-mattress.md	best-of	P1	no
best-mattress	best-mattress.md	best-of	P0	no
best-mattress-for-acid-reflux	best-mattress-for-acid-reflux.md	best-of	P1-claim-sensitive	yes
best-mattress-for-back-pain	best-mattress-for-back-pain.md	best-of	P1-claim-sensitive	yes
best-mattress-for-back-sleepers	best-mattress-for-back-sleepers.md	best-of	P1	no
best-mattress-for-combination-sleepers	best-mattress-for-combination-sleepers.md	best-of	P1	no
best-mattress-for-couples	best-mattress-for-couples.md	best-of	P1	no
best-mattress-for-guest-room	best-mattress-for-guest-room.md	best-of	P1	no
best-mattress-for-hip-pain	best-mattress-for-hip-pain.md	best-of	P1-claim-sensitive	yes
best-mattress-for-kids	best-mattress-for-kids.md	best-of	P1	no
best-mattress-for-restless-sleepers	best-mattress-for-restless-sleepers.md	best-of	P1-claim-sensitive	yes
best-mattress-for-snoring	best-mattress-for-snoring.md	best-of	P1-claim-sensitive	yes
best-mattress-for-stomach-sleepers	best-mattress-for-stomach-sleepers.md	best-of	P1	no
best-mattress-for-summer-2020	best-mattress-for-summer-2020.md	best-of	P1	no
best-mattress-for-teenagers	best-mattress-for-teenagers.md	best-of	P1	no
best-mattress-for-the-money	best-mattress-for-the-money.md	best-of	P1	no
best-mattress-in-gilbert-arizona	best-mattress-in-gilbert-arizona.md	local	P2	no
best-mattress-side-sleepers	best-mattress-side-sleepers.md	best-of	P1	no
best-mattress-store-denver-colorado	best-mattress-store-denver-colorado.md	local	P2	no
best-mattress-store-fort-worth-texas	best-mattress-store-fort-worth-texas.md	local	P2	no
best-mattress-store-in-austin-texas	best-mattress-store-in-austin-texas.md	local	P2	no
best-mattress-store-in-dallas-texas	best-mattress-store-in-dallas-texas.md	local	P2	no
best-mattress-store-in-friendswood-texas	best-mattress-store-in-friendswood-texas.md	local	P2	no
best-mattress-store-in-glendale-arizona	best-mattress-store-in-glendale-arizona.md	local	P2	no
best-mattress-store-in-houston-texas	best-mattress-store-in-houston-texas.md	local	P2	no
best-mattress-store-in-katy-texas	best-mattress-store-in-katy-texas.md	local	P2	no
best-mattress-store-in-littleton-colorado	best-mattress-store-in-littleton-colorado.md	local	P2	no
best-mattress-store-in-mesa-arizona	best-mattress-store-in-mesa-arizona.md	local	P2	no
best-mattress-store-in-phoenix-arizona	best-mattress-store-in-phoenix-arizona.md	local	P2	no
best-mattress-store-in-portland-oregon	best-mattress-store-in-portland-oregon.md	local	P2	no
best-mattress-store-in-tucson-arizona	best-mattress-store-in-tucson-arizona.md	local	P2	no
best-mattress-store-lone-tree-colorado	best-mattress-store-lone-tree-colorado.md	local	P2	no
best-mattresses-for-under-1000	best-mattresses-for-under-1000.md	best-of	P1	no
best-memory-foam-mattress	best-memory-foam-mattress.md	best-of	P1	no
best-memory-foam-mattress-for-side-sleepers	best-memory-foam-mattress-for-side-sleepers.md	best-of	P1	no
best-online-mattress	best-online-mattress.md	best-of	P0	no
best-organic-mattress	best-organic-mattress.md	best-of	P1	no
best-queen-mattress	best-queen-mattress.md	best-of	P1	no
best-time-to-buy-a-mattress	best-time-to-buy-a-mattress.md	best-of	P1	no
best-twin-mattress	best-twin-mattress.md	best-of	P1	no
best-twin-xl-size-mattress	best-twin-xl-size-mattress.md	best-of	P1	no
black-friday-mattress-sales	black-friday-mattress-sales.md	sales	P2	no
buying-bed-online	buying-bed-online.md	guide	P3	no
california-king-vs-full	california-king-vs-full.md	comparison	P1	no
california-king-vs-twin-xl	california-king-vs-twin-xl.md	comparison	P1	no
chronic-kidney-disease-and-sleep	chronic-kidney-disease-and-sleep.md	guide	P1-claim-sensitive	yes
contact	contact.md	guide	P3	no
cyber-monday-mattress-sales	cyber-monday-mattress-sales.md	sales	P2	no
disclosure	disclosure.md	guide	P3	no
down-vs-down-alternative	down-vs-down-alternative.md	comparison	P1	no
full-vs-queen	full-vs-queen.md	comparison	P1	no
gel-memory-foam-vs-memory-foam-whats-the-difference	gel-memory-foam-vs-memory-foam-whats-the-difference.md	comparison	P1	no
guide-to-labor-day-mattress-deals	guide-to-labor-day-mattress-deals.md	sales	P2	no
home	home.md	guide	P3	no
how-long-does-a-mattress-last	how-long-does-a-mattress-last.md	guide	P3	no
how-to-choose-the-best-memory-foam-mattress	how-to-choose-the-best-memory-foam-mattress.md	guide	P3	no
how-to-clean-a-mattress	how-to-clean-a-mattress.md	guide	P3	no
how-to-pick-the-right-memory-foam-mattress	how-to-pick-the-right-memory-foam-mattress.md	guide	P3	no
improve-air-quality-increase-oxygen-bedroom	improve-air-quality-increase-oxygen-bedroom.md	guide	P1-claim-sensitive	yes
improve-sleep-quality	improve-sleep-quality.md	guide	P1-claim-sensitive	yes
is-an-adjustable-bed-right-for-you	is-an-adjustable-bed-right-for-you.md	guide	P3	no
jet-lag	jet-lag.md	guide	P1-claim-sensitive	yes
just-before-bed	just-before-bed.md	guide	P3	no
king-vs-california-king	king-vs-california-king.md	comparison	P1	no
king-vs-full	king-vs-full.md	comparison	P1	no
king-vs-queen	king-vs-queen.md	comparison	P1	no
king-vs-split-king	king-vs-split-king.md	comparison	P1	no
latex-vs-innerspring-mattress	latex-vs-innerspring-mattress.md	comparison	P1	no
mattress-accessories	mattress-accessories.md	guide	P3	no
mattress-comparison	mattress-comparison.md	comparison	P0	no
