priority	source_url	target_url	anchor_text	placement	reason	publish_dependency
P1	https://simplyrest.com/best-mattress-store-in-phoenix-arizona/	https://simplyrest.com/mattress-lab/	Simply Rest Lab	Intro or methodology/trust module	Connect legacy mattress content to the first-hand testing authority hub	Target page must be live before adding link
P0	https://simplyrest.com/best-mattress-store-in-phoenix-arizona/	https://simplyrest.com/how-we-test-mattresses/	how we test mattresses	Methodology callout or FAQ	Give Google, users, and AI systems a clear evidence path for scoring and testing claims	Target page must be live before adding link
P1	https://simplyrest.com/best-mattress-store-in-phoenix-arizona/	https://simplyrest.com/mattress-stores/	mattress stores	Local guide intro or footer related link	Keep local doorway/store pages tied to the store hub	Target page must be live before adding link
P1	https://simplyrest.com/best-mattress-store-in-littleton-colorado/	https://simplyrest.com/mattress-lab/	Simply Rest Lab	Intro or methodology/trust module	Connect legacy mattress content to the first-hand testing authority hub	Target page must be live before adding link
P0	https://simplyrest.com/best-mattress-store-in-littleton-colorado/	https://simplyrest.com/how-we-test-mattresses/	how we test mattresses	Methodology callout or FAQ	Give Google, users, and AI systems a clear evidence path for scoring and testing claims	Target page must be live before adding link
P1	https://simplyrest.com/best-mattress-store-in-littleton-colorado/	https://simplyrest.com/mattress-stores/	mattress stores	Local guide intro or footer related link	Keep local doorway/store pages tied to the store hub	Target page must be live before adding link
P1-claim-sensitive	https://simplyrest.com/jet-lag/	https://simplyrest.com/how-we-test-mattresses/	mattress testing process	Comfort/support caveat block	Use cautious language and avoid unsupported medical extrapolation	Target page must be live before adding link
P1	https://simplyrest.com/mattress-sizes-and-dimensions/	https://simplyrest.com/mattress-lab/	Simply Rest Lab	Intro or methodology/trust module	Connect legacy mattress content to the first-hand testing authority hub	Target page must be live before adding link
P0	https://simplyrest.com/mattress-sizes-and-dimensions/	https://simplyrest.com/how-we-test-mattresses/	how we test mattresses	Methodology callout or FAQ	Give Google, users, and AI systems a clear evidence path for scoring and testing claims	Target page must be live before adding link
P1-claim-sensitive	https://simplyrest.com/stages-of-sleep/	https://simplyrest.com/how-we-test-mattresses/	mattress testing process	Comfort/support caveat block	Use cautious language and avoid unsupported medical extrapolation	Target page must be live before adding link
P0	https://simplyrest.com/best-mattresses-for-under-1000/	https://simplyrest.com/mattress-lab/	Simply Rest Lab	Intro or methodology/trust module	Connect legacy mattress content to the first-hand testing authority hub	Target page must be live before adding link
P0	https://simplyrest.com/best-mattresses-for-under-1000/	https://simplyrest.com/how-we-test-mattresses/	how we test mattresses	Methodology callout or FAQ	Give Google, users, and AI systems a clear evidence path for scoring and testing claims	Target page must be live before adding link
P0	https://simplyrest.com/best-mattresses-for-under-1000/	https://simplyrest.com/mattress-reviews/	mattress reviews	Ranking table intro or after top picks	Move shoppers from broad rankings into individual product proof pages	Target page must be live before adding link
P0	https://simplyrest.com/best-mattress-for-combination-sleepers/	https://simplyrest.com/mattress-lab/	Simply Rest Lab	Intro or methodology/trust module	Connect legacy mattress content to the first-hand testing authority hub	Target page must be live before adding link
