priority_tier	url	slug	page_type	current_status	brief_file	claim_risk	primary_goal	required_retrofit_blocks	proof_module	internal_links_to_add	schema_needed	publish_gate	qa_gate
P0	https://simplyrest.com/best-mattress/	best-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P0	https://simplyrest.com/mattress-comparison/	mattress-comparison	resource	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/mattress-comparison.md	Low: standard editorial/commercial disclosure still required where links appear	Clarify the page intent, answer the main query early, and connect to Simply Rest Lab evidence.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P0	https://simplyrest.com/mattress-guides/	mattress-guides	resource	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/mattress-guides.md	Low: standard editorial/commercial disclosure still required where links appear	Clarify the page intent, answer the main query early, and connect to Simply Rest Lab evidence.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P0	https://simplyrest.com/mattress-resources/	mattress-resources	resource	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/mattress-resources.md	Low: standard editorial/commercial disclosure still required where links appear	Clarify the page intent, answer the main query early, and connect to Simply Rest Lab evidence.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P0	https://simplyrest.com/mattress-types/	mattress-types	resource	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/mattress-types.md	Low: standard editorial/commercial disclosure still required where links appear	Clarify the page intent, answer the main query early, and connect to Simply Rest Lab evidence.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-adjustable-beds/	best-adjustable-beds	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-adjustable-beds.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-air-mattress/	best-air-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-air-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-bed-in-a-box-mattress-brands/	best-bed-in-a-box-mattress-brands	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-bed-in-a-box-mattress-brands.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-california-king-size-mattress/	best-california-king-size-mattress	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-california-king-size-mattress.md	Medium: commercial recommendation claims need proof and disclosure	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Fit/use proof: dimensions table, room-fit guidance, setup/usability notes, methodology link	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
P1	https://simplyrest.com/best-cooling-mattress-for-hot-sleepers/	best-cooling-mattress-for-hot-sleepers	best-of	retrofit-needed	wordpress-deploy/live-url-retrofit-briefs/best-cooling-mattress-for-hot-sleepers.md	Medium: comfort/support/cooling claims must be tied to testing evidence	Own the answer for best-product queries with a tested ranking, short answer, score table, and product proof.	Byline; lead tester; citeable summary; methodology link; first-hand testing note; FAQ; disclosure block	Lab proof: score table, Ferdie tester note, methodology link, test evidence table, FAQ	https://simplyrest.com/mattress-lab/; https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/mattress-reviews/; https://simplyrest.com/mattress-reviews/amerisleep-as3/	Article + BreadcrumbList + FAQPage; add Product/Review/ItemList/LocalBusiness where page type supports it	Do after core proof pages are live and target links resolve	Rendered layout; links; canonical; schema; no private Drive links; disclosure before commercial CTA
