requirement_id	requirement	status	evidence	blocker	next_action	evidence_files
0	Local deployment package is ready for a WordPress operator	fail	phase-one package QA rows=506, failures=3, warnings=1; retrofit package QA rows=44, failures=0, warnings=0; deploy bundle missing	local package evidence is incomplete or failing	Use the deploy instructions only after package QA is green and the bundle contains the required files.	simplyrest-phase1-package-qa-report-2026-06-25.tsv; simplyrest-retrofit-package-qa-report-2026-06-25.tsv; simplyrest-phase1-wordpress-deploy-bundle-2026-06-25.zip; simplyrest-mattress-scoring-matrix-2026-06-25.tsv; simplyrest-official-source-content-pack-summary-2026-06-25.tsv
1	Publish the five core proof pages first	production_blocked	0/5 core URLs pass live QA; failing pages: Mattress Lab; How We Test Mattresses; Ferdie Farhad; Mattress Reviews Hub; Amerisleep AS3 Review	core pages are not all published with the new proof layer	Run the WP-CLI page importer, publish approved pages, fix AS3 redirect, then rerun live QA.	simplyrest-phase1-live-qa-report-2026-06-25.tsv
1.1	Core proof page live QA: Mattress Lab	production_blocked	status=404; final_url=https://simplyrest.com/mattress-lab/; canonical_ok=no; schema_scripts=1; overall_pass=no	status=404; canonical=missing; missing markers: Simply Rest Lab; Firdous; Ferdie; lead hands-on tester; missing links: https://simplyrest.com/how-we-test-mattresses/; https://simplyrest.com/ferdie-farhad/; https://simplyrest.com/mattress-reviews/; schema: Breadcrumb terminal URL mismatch; WebPage @id mismatch; WebPage url mismatch; missing FAQPage node; missing Person node; affiliate disclosure missing; medical limitation missing	Publish or replace the WordPress page and rerun live QA until this row passes.	simplyrest-phase1-live-qa-report-2026-06-25.tsv
1.2	Core proof page live QA: How We Test Mattresses	production_blocked	status=404; final_url=https://simplyrest.com/how-we-test-mattresses/; canonical_ok=no; schema_scripts=1; overall_pass=no	status=404; canonical=missing; missing markers: How We Test Mattresses; pressure relief; spinal alignment; motion isolation; edge support; missing links: https://simplyrest.com/how-we-test-mattresses/; schema: Breadcrumb terminal URL mismatch; WebPage @id mismatch; WebPage url mismatch; missing FAQPage node; missing Person node; affiliate disclosure missing; medical limitation missing	Publish or replace the WordPress page and rerun live QA until this row passes.	simplyrest-phase1-live-qa-report-2026-06-25.tsv
1.3	Core proof page live QA: Ferdie Farhad	production_blocked	status=404; final_url=https://simplyrest.com/ferdie-farhad/; canonical_ok=no; schema_scripts=1; overall_pass=no	status=404; canonical=missing; missing markers: Firdous; lead hands-on tester; missing links: https://simplyrest.com/how-we-test-mattresses/; schema: Breadcrumb terminal URL mismatch; missing FAQPage node; missing Person node; missing ProfilePage node; affiliate disclosure missing; medical limitation missing	Publish or replace the WordPress page and rerun live QA until this row passes.	simplyrest-phase1-live-qa-report-2026-06-25.tsv
1.4	Core proof page live QA: Mattress Reviews Hub	production_blocked	status=200; final_url=https://simplyrest.com/mattress-reviews/; canonical_ok=no; schema_scripts=1; overall_pass=no	canonical=missing; missing markers: Simply Rest Lab; Amerisleep AS3; missing links: https://simplyrest.com/mattress-reviews/amerisleep-as3/; https://simplyrest.com/how-we-test-mattresses/; schema: Breadcrumb terminal URL mismatch; missing FAQPage node; missing ItemList node; missing Person node; forbidden markers: It seems we can; affiliate disclosure missing; medical limitation missing	Publish or replace the WordPress page and rerun live QA until this row passes.	simplyrest-phase1-live-qa-report-2026-06-25.tsv
1.5	Core proof page live QA: Amerisleep AS3 Review	production_blocked	status=200; final_url=https://simplyrest.com/best-online-mattress/; canonical_ok=no; schema_scripts=1; overall_pass=no	final_url=https://simplyrest.com/best-online-mattress/; canonical=https://simplyrest.com/best-online-mattress/; missing markers: Simply Rest Lab Score; Testing Evidence; Ferdie; missing links: https://simplyrest.com/how-we-test-mattresses/; schema: Breadcrumb terminal URL mismatch; missing FAQPage node; missing Organization node; missing Person node; missing Product node; missing Review node; missing WebPage node; media: AS3 has fewer than 3 video blocks/assets: 0; forbidden markers: /best-online-mattress/; affiliate disclosure missing; medical limitation missing	Publish or replace the WordPress page and rerun live QA until this row passes.	simplyrest-phase1-live-qa-report-2026-06-25.tsv
2	Upload and attach real media evidence	production_blocked	local AS3 manifest rows=13 with images=10, videos=3; lab manifest rows=5 with deployable_lab=2, approved_headshot=2, candidate=1; AS3 live media issues=AS3 has fewer than 3 video blocks/assets: 0; Ferdie live media issues=Ferdie page not passing live QA	media package exists locally, but production pages do not yet prove attached WordPress-hosted media	Run AS3 and lab media importers; use the approved Ferdie headshot as primary and keep the candidate action crop optional unless approved.	simplyrest-as3-optimized-media-upload-manifest-2026-06-25.tsv; simplyrest-lab-proof-media-upload-manifest-2026-06-25.tsv; simplyrest-phase1-live-qa-report-2026-06-25.tsv
2.1	Keep optional Ferdie action candidate approval-gated	needs_approval	2 approved headshot rows and 1 candidate action row marked candidate_requires_approval	optional action crop still requires approval; approved headshot is available for primary Ferdie media	Use the supplied Ferdie headshot for launch; use the candidate action crop only with explicit approval.	simplyrest-lab-proof-media-upload-manifest-2026-06-25.tsv
3	Implement Person, Article, Review, FAQ, and Breadcrumb schema	production_blocked	schema issue pages: Mattress Lab; How We Test Mattresses; Ferdie Farhad; Mattress Reviews Hub; Amerisleep AS3 Review	live pages have no parseable JSON-LD or unresolved entity checks	Install the MU JSON-LD renderer and confirm each page has _simplyrest_json_ld before rerunning live QA.	simplyrest-phase1-live-qa-report-2026-06-25.tsv
