slug	priority	page_type	claim_sensitive	url	status	final_url	status_ok	final_url_ok	canonical	canonical_ok	schema_script_count	schema_parse_errors	schema_types_found	missing_schema_types	schema_entity_issues	ferdie_found	lead_tester_found	lab_link_found	methodology_link_found	faq_found	affiliate_disclosure_required	affiliate_disclosure_found	medical_limit_required	medical_limit_found	forbidden_public_markers	risky_claim_patterns_found	overall_pass
4th-july-mattress-sales	P2	sales	no	https://simplyrest.com/4th-july-mattress-sales/	200	https://simplyrest.com/4th-july-mattress-sales/	yes	yes	https://simplyrest.com/4th-july-mattress-sales/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	yes	yes	no	no	no			no
adjustable-bed-mattress	P3	guide	no	https://simplyrest.com/adjustable-bed-mattress/	200	https://simplyrest.com/adjustable-bed-mattress/	yes	yes	https://simplyrest.com/adjustable-bed-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
alternative-mattress-reviews	P0	guide	no	https://simplyrest.com/alternative-mattress-reviews/	200	https://simplyrest.com/alternative-mattress-reviews/	yes	yes	https://simplyrest.com/alternative-mattress-reviews/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
bedding	P3	guide	no	https://simplyrest.com/bedding/	200	https://simplyrest.com/bedding/	yes	yes	https://simplyrest.com/bedding/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	no	no	no	no			no
bedding-buying-guide	P3	guide	no	https://simplyrest.com/bedding-buying-guide/	200	https://simplyrest.com/bedding-buying-guide/	yes	yes	https://simplyrest.com/bedding-buying-guide/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	no	no	no	no			no
best-adjustable-beds	P1	best-of	no	https://simplyrest.com/best-adjustable-beds/	200	https://simplyrest.com/best-adjustable-beds/	yes	yes	https://simplyrest.com/best-adjustable-beds/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-air-mattress	P1	best-of	no	https://simplyrest.com/best-air-mattress/	200	https://simplyrest.com/best-air-mattress/	yes	yes	https://simplyrest.com/best-air-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-bed-in-a-box-mattress-brands	P1	best-of	no	https://simplyrest.com/best-bed-in-a-box-mattress-brands/	200	https://simplyrest.com/best-bed-in-a-box-mattress-brands/	yes	yes	https://simplyrest.com/best-bed-in-a-box-mattress-brands/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-california-king-size-mattress	P1	best-of	no	https://simplyrest.com/best-california-king-size-mattress/	200	https://simplyrest.com/best-california-king-size-mattress/	yes	yes	https://simplyrest.com/best-california-king-size-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	yes	yes	no	no	no			no
best-cooling-mattress-for-hot-sleepers	P1	best-of	no	https://simplyrest.com/best-cooling-mattress-for-hot-sleepers/	200	https://simplyrest.com/best-cooling-mattress-for-hot-sleepers/	yes	yes	https://simplyrest.com/best-cooling-mattress-for-hot-sleepers/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-eco-friendly-mattress	P1	best-of	no	https://simplyrest.com/best-eco-friendly-mattress/	200	https://simplyrest.com/best-eco-friendly-mattress/	yes	yes	https://simplyrest.com/best-eco-friendly-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	yes	yes	no	no	no			no
best-firm-mattress	P1	best-of	no	https://simplyrest.com/best-firm-mattress/	200	https://simplyrest.com/best-firm-mattress/	yes	yes	https://simplyrest.com/best-firm-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-foundation-for-memory-foam-mattress	P1	best-of	no	https://simplyrest.com/best-foundation-for-memory-foam-mattress/	200	https://simplyrest.com/best-foundation-for-memory-foam-mattress/	yes	yes	https://simplyrest.com/best-foundation-for-memory-foam-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-full-size-mattress	P1	best-of	no	https://simplyrest.com/best-full-size-mattress/	200	https://simplyrest.com/best-full-size-mattress/	yes	yes	https://simplyrest.com/best-full-size-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	yes	yes	no	no	no			no
best-hybrid-mattress	P1	best-of	no	https://simplyrest.com/best-hybrid-mattress/	200	https://simplyrest.com/best-hybrid-mattress/	yes	yes	https://simplyrest.com/best-hybrid-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-hybrid-mattress-for-side-sleepers	P1	best-of	no	https://simplyrest.com/best-hybrid-mattress-for-side-sleepers/	200	https://simplyrest.com/best-hybrid-mattress-for-side-sleepers/	yes	yes	https://simplyrest.com/best-hybrid-mattress-for-side-sleepers/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-innerspring-mattress	P1	best-of	no	https://simplyrest.com/best-innerspring-mattress/	200	https://simplyrest.com/best-innerspring-mattress/	yes	yes	https://simplyrest.com/best-innerspring-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	yes	yes	no	no	no			no
best-latex-mattress	P1	best-of	no	https://simplyrest.com/best-latex-mattress/	200	https://simplyrest.com/best-latex-mattress/	yes	yes	https://simplyrest.com/best-latex-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress	P0	best-of	no	https://simplyrest.com/best-mattress/	200	https://simplyrest.com/best-mattress/	yes	yes	https://simplyrest.com/best-mattress/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-for-acid-reflux	P1-claim-sensitive	best-of	yes	https://simplyrest.com/best-mattress-for-acid-reflux/	200	https://simplyrest.com/best-mattress-for-acid-reflux/	yes	yes	https://simplyrest.com/best-mattress-for-acid-reflux/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	yes	no		\bcorrect(?:s|ed|ing)?\s+spinal alignment\b	no
best-mattress-for-back-pain	P1-claim-sensitive	best-of	yes	https://simplyrest.com/best-mattress-for-back-pain/	200	https://simplyrest.com/best-mattress-for-back-pain/	yes	yes	https://simplyrest.com/best-mattress-for-back-pain/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	yes	no		\bcure(?:s|d)?\b	no
best-mattress-for-back-sleepers	P1	best-of	no	https://simplyrest.com/best-mattress-for-back-sleepers/	200	https://simplyrest.com/best-mattress-for-back-sleepers/	yes	yes	https://simplyrest.com/best-mattress-for-back-sleepers/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-for-combination-sleepers	P1	best-of	no	https://simplyrest.com/best-mattress-for-combination-sleepers/	200	https://simplyrest.com/best-mattress-for-combination-sleepers/	yes	yes	https://simplyrest.com/best-mattress-for-combination-sleepers/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-for-couples	P1	best-of	no	https://simplyrest.com/best-mattress-for-couples/	200	https://simplyrest.com/best-mattress-for-couples/	yes	yes	https://simplyrest.com/best-mattress-for-couples/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	yes	yes	no	no	no			no
best-mattress-for-guest-room	P1	best-of	no	https://simplyrest.com/best-mattress-for-guest-room/	200	https://simplyrest.com/best-mattress-for-guest-room/	yes	yes	https://simplyrest.com/best-mattress-for-guest-room/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	no	no			no
best-mattress-for-hip-pain	P1-claim-sensitive	best-of	yes	https://simplyrest.com/best-mattress-for-hip-pain/	200	https://simplyrest.com/best-mattress-for-hip-pain/	yes	yes	https://simplyrest.com/best-mattress-for-hip-pain/	yes	0	0		Article; FAQPage; BreadcrumbList; Person; Organization	no parseable JSON-LD schema	no	no	no	no	no	yes	no	yes	no			no
